Resume_ID,Name,Skills,Experience_Years,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,Recruiter_Decision
1,Candidate_1,"Machine Learning, C++, Python, Data Analysis",6,B.Sc,TensorFlow Certificate,Software Engineer,30860,3,1
2,Candidate_2,"Java, Deep Learning, AWS, Cloud Computing",10,MBA,Google Data Analytics,ML Engineer,106820,7,1
3,Candidate_3,"Data Analysis, Python",6,B.Tech,None,Data Analyst,112386,9,1
4,Candidate_4,"Cloud Computing, SQL, AWS, Machine Learning",6,B.Tech,AWS Certified,Software Engineer,117498,10,1
5,Candidate_5,"Power BI, C++, Machine Learning",7,M.Sc,AWS Certified,Cloud Engineer,74131,4,1
6,Candidate_6,"Machine Learning, Python, AWS, SQL, C++",7,B.Sc,Microsoft Azure,Data Scientist,71090,7,1
7,Candidate_7,"Machine Learning, SQL, C++",5,M.Sc,Microsoft Azure,ML Engineer,30769,4,1
8,Candidate_8,"Power BI, Python, Deep Learning, Java",7,B.Tech,TensorFlow Certificate,ML Engineer,94925,11,1
9,Candidate_9,"Data Analysis, C++, AWS",5,B.Tech,Microsoft Azure,Cloud Engineer,35311,1,1
10,Candidate_10,"Cloud Computing, AWS, C++, Machine Learning, SQL",4,B.Tech,None,Software Engineer,83707,0,0
11,Candidate_11,"Machine Learning, C++, AWS, Deep Learning",9,M.Tech,Microsoft Azure,Software Engineer,101932,5,1
12,Candidate_12,"Power BI, Java, Cloud Computing, AWS, C++",8,B.Tech,Microsoft Azure,Data Scientist,55658,0,1
13,Candidate_13,"SQL, AWS, Power BI",9,M.Sc,AWS Certified,Cloud Engineer,32747,11,1
14,Candidate_14,"Cloud Computing, C++",2,MBA,None,Software Engineer,86886,11,0
15,Candidate_15,"Python, Power BI, Deep Learning, Cloud Computing, C++",3,M.Sc,None,Data Scientist,41394,8,1
16,Candidate_16,"Python, AWS, Cloud Computing, Data Analysis, SQL",4,B.Tech,AWS Certified,ML Engineer,71606,2,1
17,Candidate_17,"Power BI, SQL",4,M.Sc,Microsoft Azure,Data Analyst,110038,8,1
18,Candidate_18,"Power BI, Data Analysis",1,M.Tech,Google Data Analytics,Data Scientist,38792,3,0
19,Candidate_19,"Java, Machine Learning, C++, Python, SQL",1,B.Tech,Google Data Analytics,Software Engineer,106552,9,1
20,Candidate_20,"Python, AWS, Data Analysis, SQL, C++",9,M.Tech,TensorFlow Certificate,Cloud Engineer,53483,4,1
21,Candidate_21,"C++, Power BI",6,B.Sc,TensorFlow Certificate,Software Engineer,47159,11,1
22,Candidate_22,"Python, C++, SQL, Deep Learning, Java",2,MBA,TensorFlow Certificate,Cloud Engineer,65920,13,1
23,Candidate_23,"AWS, Deep Learning, Cloud Computing, SQL",3,B.Tech,AWS Certified,Data Scientist,99479,1,1
24,Candidate_24,"Java, Python, Power BI, AWS",3,B.Sc,AWS Certified,Data Scientist,96557,1,1
25,Candidate_25,"SQL, Power BI, C++, Cloud Computing, Java",5,B.Sc,AWS Certified,Software Engineer,108953,5,1
26,Candidate_26,"C++, Machine Learning, Python, Power BI",3,M.Sc,Microsoft Azure,Data Scientist,39692,5,1
27,Candidate_27,"Machine Learning, Data Analysis",1,M.Sc,TensorFlow Certificate,ML Engineer,101211,9,1
28,Candidate_28,"Cloud Computing, Machine Learning, Java, Data Analysis, C++",1,M.Sc,TensorFlow Certificate,Cloud Engineer,62606,9,1
29,Candidate_29,"Machine Learning, Java",7,B.Sc,None,Data Scientist,31016,13,1
30,Candidate_30,"Python, Machine Learning, AWS, Deep Learning, Java",7,M.Tech,None,Data Analyst,53247,4,1
31,Candidate_31,"Deep Learning, Java, Machine Learning, Cloud Computing, C++",1,M.Tech,None,Data Scientist,39268,14,0
32,Candidate_32,"AWS, Machine Learning, Data Analysis, Cloud Computing, Power BI",7,B.Tech,Microsoft Azure,Data Analyst,93704,9,1
33,Candidate_33,"Machine Learning, SQL, Python, Data Analysis",8,MBA,AWS Certified,Software Engineer,81214,12,1
34,Candidate_34,"Python, AWS, C++, Deep Learning",0,M.Sc,Google Data Analytics,Data Scientist,70774,8,1
35,Candidate_35,"Cloud Computing, Power BI, Machine Learning, AWS",8,B.Sc,TensorFlow Certificate,Cloud Engineer,92592,7,1
36,Candidate_36,"Python, Cloud Computing, AWS",7,M.Sc,None,Data Analyst,78190,7,1
37,Candidate_37,"C++, Python, Cloud Computing",10,MBA,TensorFlow Certificate,ML Engineer,69504,2,1
38,Candidate_38,"Power BI, C++, Python, AWS, Machine Learning",7,M.Sc,None,Data Analyst,91858,2,1
39,Candidate_39,"Cloud Computing, Power BI, Python, Data Analysis, AWS",0,M.Sc,AWS Certified,Software Engineer,68660,10,1
40,Candidate_40,"AWS, Data Analysis",9,MBA,Microsoft Azure,Data Scientist,94505,6,1
41,Candidate_41,"AWS, Deep Learning",8,B.Sc,Google Data Analytics,Data Scientist,52662,11,1
42,Candidate_42,"AWS, C++",8,MBA,Microsoft Azure,Data Scientist,108603,7,1
43,Candidate_43,"Power BI, Data Analysis, Deep Learning, Machine Learning, C++",1,B.Sc,Microsoft Azure,ML Engineer,119135,0,0
44,Candidate_44,"Python, Deep Learning",6,B.Sc,Google Data Analytics,Software Engineer,107373,6,1
45,Candidate_45,"Cloud Computing, Machine Learning, Deep Learning, C++",7,MBA,AWS Certified,ML Engineer,114651,4,1
46,Candidate_46,"AWS, Cloud Computing, Machine Learning, Data Analysis",7,M.Tech,TensorFlow Certificate,Cloud Engineer,54538,5,1
47,Candidate_47,"C++, Java",2,B.Tech,Microsoft Azure,Cloud Engineer,38110,0,0
48,Candidate_48,"Deep Learning, SQL, Machine Learning",2,B.Sc,Google Data Analytics,ML Engineer,112948,0,0
49,Candidate_49,"Data Analysis, Python, Cloud Computing, Java, Power BI",9,MBA,TensorFlow Certificate,Data Analyst,36910,6,1
50,Candidate_50,"Java, Deep Learning, Python",6,B.Sc,None,Data Analyst,30206,10,1
51,Candidate_51,"Python, AWS, Power BI, C++, Cloud Computing",9,MBA,Microsoft Azure,Data Scientist,53419,9,1
52,Candidate_52,"Data Analysis, SQL, Power BI, AWS",2,MBA,TensorFlow Certificate,Data Analyst,80015,14,1
53,Candidate_53,"Java, Data Analysis, Cloud Computing, Power BI, C++",6,B.Tech,Microsoft Azure,Cloud Engineer,84268,0,1
54,Candidate_54,"SQL, Data Analysis, Python, Deep Learning, AWS",3,B.Tech,Google Data Analytics,ML Engineer,110356,13,1
55,Candidate_55,"Python, C++, SQL",6,M.Sc,Microsoft Azure,Data Scientist,86044,6,1
56,Candidate_56,"SQL, Machine Learning",10,MBA,None,Data Analyst,63827,12,1
57,Candidate_57,"C++, Power BI",6,MBA,Microsoft Azure,Software Engineer,52299,10,1
58,Candidate_58,"Machine Learning, Data Analysis, Java, Python",1,B.Tech,Microsoft Azure,Cloud Engineer,94044,9,1
59,Candidate_59,"Python, Power BI",8,MBA,AWS Certified,Software Engineer,32693,4,1
60,Candidate_60,"Power BI, C++, Cloud Computing, AWS, Data Analysis",3,B.Tech,Microsoft Azure,Data Analyst,72941,13,1
61,Candidate_61,"Java, Cloud Computing, Python, C++, Power BI",10,B.Tech,Microsoft Azure,Software Engineer,105766,9,1
62,Candidate_62,"Deep Learning, Power BI, SQL",8,B.Tech,None,Software Engineer,53776,6,1
63,Candidate_63,"AWS, Power BI, Python",0,M.Sc,AWS Certified,Data Scientist,96842,8,1
64,Candidate_64,"Data Analysis, Java, Power BI",8,M.Tech,TensorFlow Certificate,Data Scientist,85016,3,1
65,Candidate_65,"Power BI, Java, SQL, C++, Cloud Computing",2,B.Tech,AWS Certified,Cloud Engineer,88053,6,1
66,Candidate_66,"Data Analysis, C++, SQL, Java",7,MBA,None,Data Analyst,33748,10,1
67,Candidate_67,"Java, Python, Power BI, C++, AWS",0,MBA,None,Cloud Engineer,43545,2,0
68,Candidate_68,"Java, Python",7,M.Tech,None,Data Analyst,103530,14,1
69,Candidate_69,"Data Analysis, C++, Python, SQL",5,M.Sc,TensorFlow Certificate,Software Engineer,98840,7,1
70,Candidate_70,"Python, Data Analysis, Java, C++, AWS",3,B.Sc,TensorFlow Certificate,Data Analyst,81005,0,1
71,Candidate_71,"AWS, Python",0,M.Sc,Google Data Analytics,ML Engineer,92003,9,1
72,Candidate_72,"Data Analysis, Java, C++, Power BI",6,M.Sc,None,Data Scientist,119474,1,0
73,Candidate_73,"Deep Learning, Python, Data Analysis",0,B.Tech,Google Data Analytics,ML Engineer,115616,4,1
74,Candidate_74,"C++, Power BI, SQL, Machine Learning, Data Analysis",7,M.Sc,Microsoft Azure,Software Engineer,56736,0,1
75,Candidate_75,"Cloud Computing, SQL",1,B.Sc,Microsoft Azure,Cloud Engineer,30854,1,0
76,Candidate_76,"SQL, AWS, Power BI",4,B.Tech,AWS Certified,Data Scientist,85680,0,1
77,Candidate_77,"Power BI, Data Analysis",2,M.Sc,Microsoft Azure,Cloud Engineer,117092,13,1
78,Candidate_78,"Power BI, Machine Learning",9,MBA,TensorFlow Certificate,Data Scientist,117455,5,1
79,Candidate_79,"SQL, Machine Learning",6,B.Sc,Microsoft Azure,Cloud Engineer,82662,3,1
80,Candidate_80,"AWS, SQL, Java",10,B.Tech,AWS Certified,Software Engineer,42688,7,1
81,Candidate_81,"Java, C++, Python",5,B.Tech,None,Data Analyst,82083,7,1
82,Candidate_82,"Deep Learning, Python, Machine Learning, Cloud Computing",1,M.Tech,None,Cloud Engineer,119045,5,1
83,Candidate_83,"Power BI, AWS, Cloud Computing, Java, Deep Learning",10,B.Tech,None,Cloud Engineer,110623,14,1
84,Candidate_84,"Python, Power BI, AWS, Machine Learning",0,MBA,TensorFlow Certificate,Data Scientist,72107,8,1
85,Candidate_85,"SQL, Java, AWS",10,M.Sc,AWS Certified,Cloud Engineer,81663,5,1
86,Candidate_86,"C++, AWS, SQL",2,B.Sc,Google Data Analytics,ML Engineer,32811,3,0
87,Candidate_87,"SQL, AWS, Python",10,MBA,Google Data Analytics,Software Engineer,102082,3,1
88,Candidate_88,"SQL, Java, Cloud Computing, C++",9,B.Tech,TensorFlow Certificate,Data Analyst,41411,2,1
89,Candidate_89,"Data Analysis, Cloud Computing, Deep Learning, Java",6,MBA,None,Software Engineer,38680,3,0
90,Candidate_90,"Deep Learning, Power BI, Data Analysis, Machine Learning",0,MBA,AWS Certified,Data Analyst,101295,7,1
91,Candidate_91,"Machine Learning, Java, Cloud Computing",6,MBA,Google Data Analytics,ML Engineer,41111,1,1
92,Candidate_92,"SQL, Machine Learning",0,M.Sc,Google Data Analytics,Data Scientist,38155,10,1
93,Candidate_93,"Machine Learning, Data Analysis",8,M.Tech,AWS Certified,Cloud Engineer,77254,8,1
94,Candidate_94,"SQL, AWS",9,MBA,Microsoft Azure,ML Engineer,46646,2,1
95,Candidate_95,"C++, Machine Learning, SQL",9,M.Tech,None,Software Engineer,46371,8,1
96,Candidate_96,"Java, Power BI, Cloud Computing, Machine Learning, Deep Learning",0,B.Tech,TensorFlow Certificate,Data Analyst,61616,1,0
97,Candidate_97,"Machine Learning, Power BI, C++",4,B.Sc,Microsoft Azure,Software Engineer,59855,4,1
98,Candidate_98,"Machine Learning, Cloud Computing, AWS, Data Analysis",10,B.Sc,Google Data Analytics,Data Scientist,73016,6,1
99,Candidate_99,"Deep Learning, AWS",8,B.Sc,TensorFlow Certificate,Cloud Engineer,72642,2,1
100,Candidate_100,"SQL, Deep Learning, C++, Cloud Computing, Data Analysis",2,B.Tech,TensorFlow Certificate,Software Engineer,36295,3,0
101,Candidate_101,"C++, SQL",5,B.Tech,AWS Certified,Data Scientist,89040,7,1
102,Candidate_102,"AWS, Machine Learning, Java",7,M.Tech,TensorFlow Certificate,Software Engineer,42874,3,1
103,Candidate_103,"Deep Learning, Power BI, SQL, Machine Learning",0,MBA,Google Data Analytics,Software Engineer,35539,7,1
